,time,EWardWind,NWardWind,WindSpd
0,2021-08-25 00:00:00,-0.9763240814208984,2.0883731842041016,2.3053224086761475
1,2021-08-25 01:00:00,-1.5576095581054688,1.8333148956298828,2.40565824508667
2,2021-08-25 02:00:00,-0.485198974609375,2.367959976196289,2.4171578884124756
3,2021-08-25 03:00:00,-0.26210784912109375,1.6749916076660156,1.6953753232955933
4,2021-08-25 04:00:00,0.03925895690917969,1.3823776245117188,1.3829350471496582
5,2021-08-25 05:00:00,0.9596958160400391,1.2905254364013672,1.6082512140274048
6,2021-08-25 06:00:00,1.847574234008789,0.9781932830810547,2.090548515319824
7,2021-08-25 07:00:00,2.0928497314453125,5.463808059692383,5.850916385650635
8,2021-08-25 08:00:00,4.826995849609375,-1.4082450866699219,5.028224468231201
9,2021-08-25 09:00:00,0.7187690734863281,-1.4747600555419922,1.64059317111969
10,2021-08-25 10:00:00,-0.2974395751953125,0.5626592636108398,0.6364399194717407
11,2021-08-25 11:00:00,0.6172218322753906,1.072427749633789,1.2373616695404053
12,2021-08-25 12:00:00,0.2300739288330078,0.21899986267089844,0.31763967871665955
13,2021-08-25 13:00:00,-0.6104984283447266,0.35004615783691406,0.7037333250045776
14,2021-08-25 14:00:00,-4.62242317199707,4.730466842651367,6.613933563232422
15,2021-08-25 15:00:00,4.1283721923828125,2.7585983276367188,4.965211391448975
16,2021-08-25 16:00:00,3.394195556640625,0.470306396484375,3.426624059677124
17,2021-08-25 17:00:00,-0.9311504364013672,1.8825912475585938,2.100283622741699
18,2021-08-25 18:00:00,-6.354940414428711,-3.9813480377197266,7.499093532562256
19,2021-08-25 19:00:00,0.6121234893798828,13.273223876953125,13.287330627441406
20,2021-08-25 20:00:00,-1.4240894317626953,3.9486007690429688,4.197556018829346
21,2021-08-25 21:00:00,-2.3067378997802734,2.5206451416015625,3.4168248176574707
22,2021-08-25 22:00:00,-2.5237808227539062,4.271936416625977,4.961744785308838
23,2021-08-25 23:00:00,-4.313144683837891,3.7307662963867188,5.702792167663574
24,2021-08-26 00:00:00,-3.228281021118164,3.386289596557617,4.678542137145996
25,2021-08-26 01:00:00,-3.749868392944336,5.039752960205078,6.281769275665283
26,2021-08-26 02:00:00,-3.655183792114258,4.92851448059082,6.136010646820068
27,2021-08-26 03:00:00,-3.0926475524902344,4.798099517822266,5.70843505859375
28,2021-08-26 04:00:00,-3.4678192138671875,5.290746688842773,6.3259596824646
29,2021-08-26 05:00:00,-4.695241928100586,4.608486175537109,6.579015254974365
30,2021-08-26 06:00:00,-4.103054046630859,3.780864715576172,5.57942533493042
31,2021-08-26 07:00:00,-3.2655906677246094,3.3672714233398438,4.690692901611328
32,2021-08-26 08:00:00,-3.9731082916259766,3.8098058700561523,5.5045623779296875
33,2021-08-26 09:00:00,-4.198266983032227,3.344877243041992,5.367834568023682
34,2021-08-26 10:00:00,-3.135099411010742,3.5871448516845703,4.764080047607422
35,2021-08-26 11:00:00,-6.271657943725586,3.04302978515625,6.970920085906982
36,2021-08-26 12:00:00,-7.355218887329102,4.3745880126953125,8.557818412780762
37,2021-08-26 13:00:00,-8.629531860351562,2.555858612060547,9.000068664550781
38,2021-08-26 14:00:00,-8.025774002075195,2.7750301361083984,8.491986274719238
39,2021-08-26 15:00:00,-7.518798828125,1.4550056457519531,7.65828800201416
40,2021-08-26 16:00:00,-7.384153366088867,-0.19926166534423828,7.386841297149658
41,2021-08-26 17:00:00,-7.527996063232422,-1.6572418212890625,7.708253383636475
42,2021-08-26 18:00:00,-8.157463073730469,-1.393280029296875,8.275592803955078
43,2021-08-26 19:00:00,-8.310903549194336,-0.9417610168457031,8.364091873168945
44,2021-08-26 20:00:00,-8.421331405639648,-0.36066627502441406,8.429051399230957
45,2021-08-26 21:00:00,-8.277957916259766,-1.5276679992675781,8.417740821838379
46,2021-08-26 22:00:00,-9.143863677978516,-1.4625816345214844,9.260096549987793
47,2021-08-26 23:00:00,-8.729532241821289,-1.4302558898925781,8.84592342376709
48,2021-08-27 00:00:00,-8.637596130371094,-1.7979602813720703,8.822739601135254
49,2021-08-27 01:00:00,-8.446210861206055,0.8763866424560547,8.491556167602539
50,2021-08-27 02:00:00,-7.664251327514648,0.1309032440185547,7.665369510650635
51,2021-08-27 03:00:00,-7.551237106323242,-0.9725322723388672,7.6136064529418945
52,2021-08-27 04:00:00,-10.251798629760742,-1.1702766418457031,10.318377494812012
53,2021-08-27 05:00:00,-8.926284790039062,-0.8948383331298828,8.971025466918945
54,2021-08-27 06:00:00,-6.929727554321289,-4.432003974914551,8.225799560546875
55,2021-08-27 07:00:00,-12.33782958984375,-4.538242340087891,13.146014213562012
56,2021-08-27 08:00:00,-6.280332565307617,0.15285682678222656,6.282192707061768
57,2021-08-27 09:00:00,-0.7065181732177734,5.616987228393555,5.6612467765808105
58,2021-08-27 10:00:00,-4.693071365356445,2.512582778930664,5.3233442306518555
59,2021-08-27 11:00:00,-5.812944412231445,4.461284637451172,7.327577114105225
60,2021-08-27 12:00:00,-12.836725234985352,4.330757141113281,13.547581672668457
61,2021-08-27 13:00:00,-10.559362411499023,3.636068344116211,11.167860984802246
62,2021-08-27 14:00:00,-5.694528579711914,8.419441223144531,10.16438102722168
63,2021-08-27 15:00:00,-4.769603729248047,9.050357818603516,10.230254173278809
64,2021-08-27 16:00:00,-10.02284049987793,5.077009201049805,11.23536205291748
65,2021-08-27 17:00:00,-7.935396194458008,3.2758560180664062,8.584972381591797
66,2021-08-27 18:00:00,-7.015071868896484,3.702301025390625,7.932103633880615
