,latitude (degrees_north),longitude (degrees_east),wd (degrees_true),wspd (m s-1),gst (m s-1),wvht (m),dpd (s),apd (s),mwd (degrees_true),bar (hPa),atmp (degree_C),wtmp (degree_C),dewp (degree_C),wspu (m s-1),wspv (m s-1),time (UTC),LHF [W/m2],SHF [W/m2]
1323,29.212,-88.20700000000001,282.0,5.1,6.1,0.79,4.76,4.13,194.0,1013.9,28.4,28.6,26.7,5.0,-1.1,2021-09-03 04:40:00+00:00,41.625399942637486,1.2977909820000184
1329,29.212,-88.20700000000001,285.0,3.9,4.6,0.7,4.76,4.05,202.0,1013.5,28.5,28.6,26.4,3.8,-1.0,2021-09-03 05:40:00+00:00,36.03649164336783,0.48904865100000694
1335,29.212,-88.20700000000001,276.0,3.9,4.7,0.7,5.26,4.13,193.0,1013.3,28.4,28.6,26.5,3.9,-0.4,2021-09-03 06:40:00+00:00,34.515319608640375,0.9780973020000139
1341,29.212,-88.20700000000001,261.0,4.0,5.3,0.61,5.26,4.02,187.0,1013.2,28.3,28.5,26.6,4.0,0.6,2021-09-03 07:40:00+00:00,32.0705124978452,1.0044015999999962
1347,29.212,-88.20700000000001,316.0,3.4,4.5,0.61,4.76,4.09,201.0,1013.3,28.2,28.6,25.7,2.4,-2.4,2021-09-03 08:40:00+00:00,40.49856198432759,1.694988944000009
1353,29.212,-88.20700000000001,37.0,2.6,3.3,0.59,5.56,4.13,187.0,1013.5,28.0,28.6,25.8,-1.6,-2.1,2021-09-03 09:40:00+00:00,29.7057538779238,1.9251438960000047
1359,29.212,-88.20700000000001,64.0,1.4,2.3,0.55,5.0,4.1,198.0,1013.8,28.0,28.6,25.4,-1.3,-0.6,2021-09-03 10:40:00+00:00,20.643594707158286,1.1832340800000025
1365,29.212,-88.20700000000001,44.0,1.5,1.9,0.49,5.56,4.1,206.0,1014.4,27.9,28.5,24.9,-1.0,-1.1,2021-09-03 11:40:00+00:00,23.951878658159927,1.240191000000003
1371,29.212,-88.20700000000001,63.0,1.6,2.0,0.46,5.26,4.2,191.0,1014.8,28.3,28.5,24.7,-1.4,-0.7,2021-09-03 12:40:00+00:00,26.18879416238097,0.43115775999999845
1377,29.212,-88.20700000000001,37.0,1.7,2.2,0.52,6.25,4.33,210.0,1015.4,28.4,28.5,24.8,-1.0,-1.4,2021-09-03 13:40:00+00:00,26.51951290184767,0.22384682000000317
1383,29.212,-88.20700000000001,39.0,1.2,1.8,0.54,5.26,4.3,195.0,1015.7,28.7,28.5,24.8,-0.8,-0.9,2021-09-03 14:40:00+00:00,20.86838628886855,-0.3527654399999987
1389,29.212,-88.20700000000001,39.0,1.4,2.2,0.55,5.26,4.3,209.0,1015.9,28.8,28.5,24.5,-0.9,-1.1,2021-09-03 15:40:00+00:00,25.023610301934507,-0.5916170400000013
1395,29.212,-88.20700000000001,48.0,0.7,1.9,0.53,5.0,4.2,207.0,1015.9,29.0,28.6,24.3,-0.5,-0.5,2021-09-03 16:40:00+00:00,15.458474874928283,-0.4544304799999983
1401,29.212,-88.20700000000001,12.0,1.4,2.3,0.59,5.88,4.24,224.0,1015.8,28.8,28.7,24.4,-0.3,-1.4,2021-09-03 17:40:00+00:00,27.00113866859975,-0.19720568000000277
1407,29.212,-88.20700000000001,9.0,1.8,3.0,0.56,6.25,4.34,217.0,1015.4,28.7,28.9,24.5,-0.3,-1.8,2021-09-03 18:40:00+00:00,32.73531515849519,0.4630046399999984
1413,29.212,-88.20700000000001,352.0,2.4,3.1,0.56,5.56,4.26,226.0,1014.8,28.7,29.0,24.2,0.3,-2.4,2021-09-03 19:40:00+00:00,45.39657049368256,0.8863231680000018
1419,29.212,-88.20700000000001,350.0,3.3,4.4,0.56,5.88,4.3,217.0,1014.4,28.8,29.1,24.5,0.6,-3.2,2021-09-03 20:40:00+00:00,61.136114179193854,1.2323364570000024
1425,29.212,-88.20700000000001,14.0,3.4,4.5,0.5,5.56,4.34,213.0,1014.2,28.9,29.4,23.5,-0.8,-3.3,2021-09-03 21:40:00+00:00,79.60070617743398,2.11873618
1431,29.212,-88.20700000000001,11.0,3.3,4.1,0.49,5.26,4.32,208.0,1014.2,29.1,29.7,23.3,-0.6,-3.2,2021-09-03 22:40:00+00:00,83.99935451820028,2.46467291399999
1437,29.212,-88.20700000000001,4.0,2.6,3.6,0.43,5.56,4.22,222.0,1013.9,29.0,29.7,22.7,-0.2,-2.6,2021-09-03 23:40:00+00:00,70.73941241767993,2.2460012119999977
1443,29.212,-88.20700000000001,12.0,1.8,2.3,0.41,5.56,4.23,228.0,1013.9,28.8,29.8,22.4,-0.4,-1.8,2021-09-04 00:40:00+00:00,53.733219278792994,2.3150232
1449,29.212,-88.20700000000001,32.0,1.3,2.2,0.39,5.56,4.42,215.0,1014.9,28.7,29.7,22.3,-0.7,-1.1,2021-09-04 01:40:00+00:00,43.15613793990876,1.8710042
1455,29.212,-88.20700000000001,347.0,0.9,1.4,0.38,5.56,4.39,198.0,1015.0,28.6,29.8,22.4,0.2,-0.9,2021-09-04 02:40:00+00:00,32.59796709215958,1.6866597599999986
1461,29.212,-88.20700000000001,14.0,0.5,1.1,0.37,5.56,4.5,211.0,1015.0,28.6,29.6,22.6,-0.1,-0.5,2021-09-04 03:40:00+00:00,18.457453509463598,0.8421049999999999
1467,29.212,-88.20700000000001,336.0,0.0,0.4,0.33,5.56,4.3,192.0,1014.8,28.4,29.8,22.5,0.0,0.0,2021-09-04 04:40:00+00:00,0.0,0.0
1473,29.212,-88.20700000000001,25.0,0.6,1.1,0.32,5.56,4.3,185.0,1014.4,28.4,29.8,22.6,-0.3,-0.5,2021-09-04 05:40:00+00:00,22.520238623878484,1.3890139200000018
1479,29.212,-88.20700000000001,24.0,1.1,1.6,0.31,6.25,4.38,210.0,1013.9,28.3,29.7,22.7,-0.4,-1.0,2021-09-04 06:40:00+00:00,36.431318609003554,2.310736119999998
1485,29.212,-88.20700000000001,47.0,1.0,1.8,0.31,5.88,4.42,218.0,1013.6,28.3,29.6,22.9,-0.7,-0.7,2021-09-04 07:40:00+00:00,32.42307670001323,1.990430000000001
1491,29.212,-88.20700000000001,345.0,1.0,2.4,0.33,5.56,4.61,204.0,1014.0,28.2,29.4,23.0,0.3,-1.0,2021-09-04 08:40:00+00:00,30.860035328566635,1.8373199999999987
1497,29.212,-88.20700000000001,319.0,2.1,2.8,0.32,5.26,4.64,189.0,1014.0,28.2,29.3,23.1,1.4,-1.6,2021-09-04 09:40:00+00:00,50.265566530029034,2.833009641000003
1503,29.212,-88.20700000000001,298.0,3.1,3.9,0.36,5.56,4.86,209.0,1014.2,28.2,29.3,23.2,2.7,-1.5,2021-09-04 10:40:00+00:00,74.0868765539385,4.234272361000005
1509,29.212,-88.20700000000001,297.0,3.7,4.4,0.35,5.26,5.0,196.0,1014.4,28.2,29.1,23.5,3.3,-1.7,2021-09-04 11:40:00+00:00,81.89688877014017,4.16552597100001
1515,29.212,-88.20700000000001,308.0,4.3,5.2,0.4,6.67,5.11,211.0,1014.8,28.3,29.1,23.6,3.4,-2.6,2021-09-04 12:40:00+00:00,94.34348141243304,4.334727832000004
1521,29.212,-88.20700000000001,317.0,4.5,5.5,0.4,6.25,4.58,222.0,1015.1,28.5,29.2,23.4,3.1,-3.3,2021-09-04 13:40:00+00:00,104.0803353420188,3.978946124999996
1527,29.212,-88.20700000000001,2.0,5.0,5.8,0.41,6.25,4.06,217.0,1015.3,28.2,29.2,24.3,-0.2,-5.0,2021-09-04 14:40:00+00:00,100.59342753661765,6.354065
1533,29.212,-88.20700000000001,90.0,2.4,3.4,0.41,5.56,3.58,210.0,1015.6,27.6,29.2,24.7,-2.4,0.0,2021-09-04 15:40:00+00:00,43.45109256091711,4.727056895999993
1539,29.212,-88.20700000000001,108.0,0.7,1.2,0.46,5.56,3.76,224.0,1015.5,28.0,29.1,24.7,-0.7,0.2,2021-09-04 16:40:00+00:00,16.273353994822934,1.2496838200000013
1545,29.212,-88.20700000000001,46.0,2.3,3.0,0.42,5.56,3.97,219.0,1015.1,28.5,29.2,24.2,-1.7,-1.6,2021-09-04 17:40:00+00:00,45.541339468533835,1.9794520129999973
1551,29.212,-88.20700000000001,43.0,3.8,4.9,0.36,5.56,3.91,212.0,1014.9,28.3,29.3,24.8,-2.6,-2.8,2021-09-04 18:40:00+00:00,70.29850757202712,4.7592712399999995
1557,29.212,-88.20700000000001,38.0,3.4,4.4,0.33,5.56,3.97,229.0,1014.4,28.4,29.4,24.0,-2.1,-2.7,2021-09-04 19:40:00+00:00,73.83680976230822,4.23747236
1563,29.212,-88.20700000000001,35.0,2.1,2.9,0.35,5.26,3.82,126.0,1013.8,28.6,29.6,24.1,-1.2,-1.7,2021-09-04 20:40:00+00:00,46.10084292068158,2.5754633099999995
1569,29.212,-88.20700000000001,46.0,3.3,4.2,0.42,5.0,3.97,81.0,1013.6,28.6,29.4,24.2,-2.4,-2.3,2021-09-04 21:40:00+00:00,69.29772433517078,3.286230551999987
1575,29.212,-88.20700000000001,55.0,3.2,4.0,0.38,5.0,3.92,69.0,1013.5,28.7,29.3,24.1,-2.6,-1.8,2021-09-04 22:40:00+00:00,66.73959599740675,2.387046144000005
1581,29.212,-88.20700000000001,72.0,2.9,3.8,0.32,4.55,3.9,90.0,1013.6,28.7,29.1,23.8,-2.8,-0.9,2021-09-04 23:40:00+00:00,60.59132617737696,1.4368454840000076
1587,29.212,-88.20700000000001,96.0,4.3,5.1,0.3,4.76,3.69,84.0,1013.7,28.3,29.0,23.8,-4.3,0.4,2021-09-05 00:40:00+00:00,89.48061964027413,3.792886852999996
1593,29.212,-88.20700000000001,70.0,2.5,3.0,0.3,4.35,3.69,71.0,1014.4,28.4,28.9,23.2,-2.3,-0.9,2021-09-05 01:40:00+00:00,54.7325630179304,1.5406693750000002
1599,29.212,-88.20700000000001,96.0,4.4,5.6,0.29,4.17,3.71,67.0,1014.7,28.2,28.8,24.6,-4.4,0.5,2021-09-05 02:40:00+00:00,75.05311490714327,3.3306936960000084
1605,29.212,-88.20700000000001,91.0,4.6,5.8,0.31,4.0,3.58,66.0,1014.6,28.3,28.8,23.9,-4.6,0.1,2021-09-05 03:40:00+00:00,90.13882623344622,2.90878378
1611,29.212,-88.20700000000001,110.0,4.3,5.8,0.33,4.35,3.56,75.0,1014.4,28.2,28.8,23.9,-4.0,1.5,2021-09-05 04:40:00+00:00,83.99176888119362,3.251045874000008
1617,29.212,-88.20700000000001,111.0,4.4,5.5,0.38,4.0,3.41,65.0,1014.2,28.1,28.7,24.3,-4.1,1.6,2021-09-05 05:40:00+00:00,77.85849330459656,3.3306936959999884
1623,29.212,-88.20700000000001,130.0,3.7,4.7,0.36,3.33,3.33,73.0,1013.6,28.0,28.7,24.3,-2.8,2.4,2021-09-05 06:40:00+00:00,64.97272666205573,3.2398535329999967
1629,29.212,-88.20700000000001,154.0,2.9,3.9,0.38,5.56,3.49,186.0,1013.3,28.0,28.7,24.2,-1.3,2.6,2021-09-05 07:40:00+00:00,51.45639437115212,2.514479596999997
1635,29.212,-88.20700000000001,149.0,1.7,2.5,0.44,5.26,3.68,105.0,1013.0,27.9,28.8,24.2,-0.9,1.5,2021-09-05 08:40:00+00:00,32.89436008237232,2.014621380000005
1641,29.212,-88.20700000000001,178.0,1.3,1.9,0.45,5.26,3.75,97.0,1013.2,27.7,28.8,24.3,0.0,1.3,2021-09-05 09:40:00+00:00,26.974539854107963,2.0581046200000026
1647,29.212,-88.20700000000001,245.0,0.6,1.4,0.42,5.26,3.84,103.0,1013.4,27.7,28.7,24.2,0.5,0.3,2021-09-05 10:40:00+00:00,14.222436270390869,0.9921527999999998
1653,29.212,-88.20700000000001,277.0,1.7,2.4,0.39,5.26,3.84,114.0,1013.9,27.8,28.7,23.6,1.7,-0.2,2021-09-05 11:40:00+00:00,35.78811554974426,2.014621379999997
1659,29.212,-88.20700000000001,309.0,2.2,2.8,0.39,5.56,4.03,100.0,1014.4,28.0,28.7,24.1,1.7,-1.4,2021-09-05 12:40:00+00:00,39.41436145431612,1.8910309879999978
1665,29.212,-88.20700000000001,343.0,2.4,2.9,0.4,5.26,4.07,106.0,1014.7,28.0,28.6,24.0,0.7,-2.3,2021-09-05 13:40:00+00:00,42.85480105229383,1.7726463360000035
1671,29.212,-88.20700000000001,331.0,1.7,2.6,0.39,5.56,4.03,107.0,1015.1,28.2,28.7,23.7,0.8,-1.5,2021-09-05 14:40:00+00:00,35.09982579150001,1.1192341
1677,29.212,-88.20700000000001,14.0,1.5,2.4,0.39,5.56,4.03,104.0,1015.6,28.4,28.7,24.0,-0.4,-1.5,2021-09-05 15:40:00+00:00,30.666114241119985,0.6200955000000015
1683,29.212,-88.20700000000001,6.0,1.7,2.4,0.37,5.0,4.0,107.0,1015.5,28.5,29.0,23.4,-0.2,-1.7,2021-09-05 16:40:00+00:00,39.324386899073204,1.1192341
1689,29.212,-88.20700000000001,25.0,1.6,2.3,0.36,5.0,4.08,114.0,1015.0,28.8,29.1,23.3,-0.7,-1.5,2021-09-05 17:40:00+00:00,39.2379958396271,0.6467366400000015
1695,29.212,-88.20700000000001,69.0,3.1,4.4,0.36,5.26,4.14,96.0,1014.4,28.4,29.4,24.1,-2.9,-1.1,2021-09-05 18:40:00+00:00,65.99782212795606,3.8493385099999995
1701,29.212,-88.20700000000001,70.0,3.0,3.9,0.33,5.0,4.15,105.0,1014.0,28.5,29.4,23.8,-2.8,-1.0,2021-09-05 19:40:00+00:00,66.90578201520104,3.3485156999999943
1707,29.212,-88.20700000000001,75.0,2.3,3.6,0.34,5.0,4.25,99.0,1013.6,28.6,29.4,23.6,-2.2,-0.6,2021-09-05 20:40:00+00:00,52.41385748343526,2.262230871999991
1713,29.212,-88.20700000000001,59.0,1.4,2.2,0.33,5.26,4.25,103.0,1013.3,28.8,29.7,23.4,-1.2,-0.7,2021-09-05 21:40:00+00:00,39.8532874721799,1.7748511199999968
1719,29.212,-88.20700000000001,108.0,2.3,3.0,0.33,5.0,4.21,104.0,1012.8,28.8,30.2,23.6,-2.2,0.7,2021-09-05 22:40:00+00:00,61.087306470671045,3.9589040259999946
1725,29.212,-88.20700000000001,121.0,2.7,3.6,0.31,5.0,4.16,102.0,1012.7,28.6,29.7,23.9,-2.3,1.4,2021-09-05 23:40:00+00:00,62.911978162077176,3.6697251689999932
